Title,Poem,Poet,Genre
The Summer Bower,"It is a place whither I’ve often goneFor peace, and found it, secret, hushed, and cool, A beautiful recess in neighboring woods. Trees of the soberest hues, thick-leaved and tall, Arch it o’erhead and column it around, Framing a covert, natural and wild,Domelike and dim; though nowhere so enclosed But that the gentlest breezes reach the spot Unwearied and unweakened. Sound is here A transient and unfrequent visitor;Yet if the day be calm, not often then, Whilst the high pines in one another’s arms Sleep, you may sometimes with unstartled ear Catch the far fall of voices, how remote You know not, and you do not care to know. The turf is soft and green, but not a flower Lights the recess, save one, star-shaped and bright—I do not know its name—which here and there Gleams like a sapphire set in emerald.A narrow opening in the branched roof,A single one, is large enough to show,With that half-glimpse a dreamer loves so much, The blue air and the blessing of the sky.Thither I always bent my idle steps,When griefs depressed, or joys disturbed my heart, And found the calm I looked for, or returned Strong with the quite rapture in my soul.                                         But one day,One of those July days when winds have fled One knows not whither, I, most sick in mind With thoughts that shall be nameless, yet, no doubt, Wrong, or at least unhealthful, since though dark With gloom, and touched with discontent, they had No adequate excuse, nor cause, nor end,I, with these thoughts, and on this summer day, Entered the accustomed haunt, and found for once No medicinal virtue.                    Not a leafStirred with the whispering welcome which I sought, But in a close and humid atmosphere,Every fair plant and implicated boughHung lax and lifeless. Something in the place, Its utter stillness, the unusual heat,And some more secret influence, I thought, Weighed on the sense like sin. Above I saw, Though not a cloud was visible in heaven,The palid sky look through a glazed mistLike a blue eye in death.                         The change, perhaps, Was natural enough; my jaundiced sight,The weather, and the time explain it all:Yet have I drawn a lesson from the spot,And shrined it in these verses for my heart. Thenceforth those tranquil precincts I have sought Not less, and in all shades of various moods; But always shun to desecrate the spotBy weak repinings, sickly sentiments,Or inconclusive sorrows. Nature, thoughPure as she was in Eden when her breathKissed the white brow of Eve, doth not refuse,In her own way and with a just reserve, To sympathize with human suffering; But for the pains, the fever, and the fret Engendered of a weak, unquiet heart,She hath no solace; and who seeks her when These be the troubles over which he moans, Reads in her unreplying lineaments Rebukes, that, to the guilty consciousness, Strike like contempt.",Henry Timrod,Joy
"A Carafe, that is a Blind Glass","A kind in glass and a cousin, a spectacle and nothing strange a single hurt color and an arrangement in a system to pointing. All this and not ordinary, not unordered in not resembling. The difference is spreading.",Gertrude Stein,Surprise
Mutter,"There is a brand of play called mutenessBeneath the play yard’s interlacing branches. It appeals to children born Entre deux guerres, whose specialty it is.    It is mutiny; that is, a tongue  Of foreign origin ending in grunts.  One such child uses his tongueOn a frozen fence for the embrace of it For the mutating appendage makes of speech A combat; an internment. There is a brand of child assisted to the play yardBy his keeper fussing with his zipper.   Yes, it is cold in the high hemisphereAnd nothing will be the death of him As he sets hard sweets on his tongue He neither chews nor swallows.  Such children can never swing too freely  From the elm’s loping barkless arm.  It is mutual. There is smoke on the air, tarry,  Commuting the industry on high As the children simmer withinTheir word-cloud.  And someone or something is calling them homeA familiar voice, if they have one.",Mark Levine,Anger
Eating Together,"I know my friend is going,though she still sits thereacross from me in the restaurant,   and leans over the table to dipher bread in the oil on my plate; I know   how thick her hair used to be,   and what it takes for her to discardher man’s cap partway through our meal,   to look straight at the young waiter   and smile when he askshow we are liking it. She eatsas though starving—chicken, dolmata,   the buttery flakes of filo—and what’s killing hereats, too. I watch her lifta glistening black olive and peel   the meat from the pit, watchher fine long fingers, and her face,   puffy from medication. She lowers   her eyes to the food, pretendingnot to know what I know. She’s going.   And we go on eating.",Kim Addonizio,Joy
Ghazal for Becoming Your Own Country,"After Rachel Eliza Griffiths’s “Self Stones Country” photographsKnow what the almost-gone dandelion knows. Piece by pieceThe body prayers home. Its whole head a veil, a wind-blown bride.When all the mothers gone, frame the portraits. Wood spoon overBoiling pot, test the milk on your own wrist. You soil, sand, and mud grown bride.If you miss your stop. Or lose love. If even the medicine hurts too.Even when your side-eye, your face stank, still, your heart moans bride.Fuck the fog back off the mirror. Trust the road in your name. RideYour moon hide through the pitch black. Gotsta be your own bride.Burn the honey. Write the letters. What address could hold you?Nectar arms, nectar hands. Old tire sound against the gravel. Baritone bride.Goodest grief is an orchard you know. But you have not been killedOnce. Angel, put that on everything. Self. Country. Stone. Bride.",Angel Nafis,Fear
Sather Tower Mystery,"Seems there was this Professora member of what should be calledThe Good German DepartmentMust have signed his name to5,000 petitions in front ofthe Co-Op on Cedarand bought two tons of benefitcookiesBlames Texas for the sorrystate of the oceansRode a Greyhound bus “CivilRights,” Alabama, 1960Found the long yellow war“deplorable”Believes John “Duke” Wayne’svalues to be inferior to hisHe said, “Ishmael, I’dlove to do the right thingfor as you know I’m all forthe right thing and againstthe wrong thing, butthese plaster of paris bustsof deceased EuropeansOur secret waysOur sacred fears""These books, leather-bound 'copyright 1789’All of these things, preciousto me, gleaming like thestainless steel coffee urn inthe faculty club, an originalMaybeck, 1902“I’d stand up for Camelotby golly, even if it meantshooting all the infidels inthe world,” he saidreaching into his desk drawer“Why, I might even have toshoot you, Ishmael”Staring down the coldtunnel of a hard .38I thoughtMost people are to the rightwhen it comes to where they musteat and lay their heads!",Ishmael Reed,Anger
Meditation,"after BaudelaireQuiet now, sorrow; relax. Calm down, fear ...You wanted the night? It’s falling, here,Like a black glove onto the city,Giving a few some peace ... but not me.I think, well, almost everyone I knowLoves to be whipped by pleasure—right, Killer?—As they stroll the boardwalk, parading their despair.So why don’t you come too? But instead, with me,Away from all these tattered ghosts leaning offThe sky’s balcony like last year’s lovers;We’ll watch everything we regret step from the seaDripping ... while the dead sun drags its arcTowards China. Shroud of my heart, listen. Listen—How softly the night steps toward us.",David St. John,Anger
Spring and All: XIX [This is the time of year],"This is the time of yearwhen boys fifteen and seventeenwear two horned lilac blossomsin their caps — or over one ear What is it that does this ? It is a certain sort —drivers for grocers or taxidriverswhite and colored — fellows that let their hair grow longin a curve over one eye —  Horned purple Dirty satyrs, it isvulgarity raised to the last power They have stolen thembroken the bushes apartwith a curse for the owner —  Lilacs —  They stand in the doorwayson the business streets with a sneeron their faces adorned with blossoms Out of their sweet headsdark kisses — rough faces",William Carlos Williams,Anger
On English Monsieur,"Would you believe, when you this monsieur see, That his whole body should speak French, not he? That so much scarf of France, and hat, and feather, And shoe, and tie, and garter should come hether, And land on one whose face durst never be Toward the sea farther than Half-Way Tree? That he, untraveled, should be French so much As Frenchmen in his company should seem Dutch? Or had his father, when he did him get, The French disease, with which he labors yet? Or hung some monsieur’s picture on the wall, By which his dam conceived him, clothes and all? Or is it some French statue? No: ’T doth move, And stoop, and cringe. O then, it needs must prove The new French tailor’s motion, monthly made, Daily to turn in Paul’s, and help the trade.",Ben Jonson,Fear
The Young Blake,"sleeps into heaven with his lamps on, finishing explan-atory negotiations for a while. Desert the enemy. Starformations, sandstone understanding, rock time in gen-eral, whatever. Latching onto ecstasy, words that changeon waking, clover as a syrup of spring mind. Workingoff a deficit of sleep or cash, you know who your friendsare. Singled out in traffic, lurching into light, havinglunch. You’re a little one with sand in your eyes, withgreen on your horn, with milk on your chin. With flow-ering ears and hearsay.",Elizabeth Willis,Surprise
Occupation 1943,"We boys, the neighborhood’s barefootWe boys, the neighborhood’s nakedWe boys of stomachs bloated from eating mudWe boys of teeth porous from eating dates and pumpkin rindWe boys will line up from Hassan al-Basri’s mausoleum to the Ashar River’s sourceto meet you in the morning waving green palm frondsWe will cry out: Long LiveWe will cry out: Live to EternityAnd we will hear the music of Scottish bagpipes, gladlySometimes we will laugh at an Indian soldier’s beardbut fear will merge with our laughs, and dispute themWe cry out: Long LiveWe cry out: Live to Eternityand reach our hands toward you: Give us breadWe the hungry, starving since our birth in this villageGive us meat, chewing gum, cans, and fishGive us, so no mother expels her childso that we do not eat mud and sleepWe boys, the neighborhood’s barefootdo not know from where you had comeor why you had comeor why we cry out: Long Live...............................And now we ask: will you stay long?And will we go on reaching our hands toward you?London, December 3, 2002",Saadi Youssef,Fear
Coco(nut),"Beside the treeBeside the chairBeside the houseBeside the pitBeside the tree stumpCoco say don’t climb / so I don’t / I sit & stare — my skin coming dark and burntThey say: tireI say: brownThey say: Black Black can’t take back!& I don’tI learnt to not ask where I’m fromI learn to listen, then notI’m too scared they gone tell me the things about myself              I done already buried in the darkBeside the tree  Beside the chair     Beside the house    Beside the pitBeside the tree stump         I sit       I sit        I sit        ’til no one even know I’m (t)here",Mahogany L. Browne,Fear
Counsel to Unreason,"These lovers’ inklings which our loves enmesh,   Lost to the cunning and dimensional eye,   Though tenemented in the selves we see,   Not more perforce than azure to the sky,   Were necromancy-juggled to the flesh,   And startled from no daylight you or me.For trance and silvemess those moons commend,   Which blanch the warm life silver-pale; or look   What ghostly portent mist distorts from slight   Clay shapes; the willows that the waters took   Liquid and brightened in the waters bend,   And we, in love’s reflex, seemed loved of right.Then no more think to net forthwith love’s thing,   But cast for it by spirit sleight-of-hand;Then only in the slant glass contemplate,   Where lineament outstripping line is scanned,   Then on the perplexed text leave pondering,   Love’s proverb is set down transliterate.",Léonie Adams,Love
Not Forgotten,"I love the way the black ants use their dead.They carry them off like warriors on their steelbacks. They spend hours struggling, lifting,dragging (it is not grisly as it would be for us,to carry them back to be eaten),so that every part will be of service. I think ofmy husband at his father’s grave—the grass had closedover the headstone, and the name had disappeared. He took outhis pocket knife and cut the grass away, he swept itwith his handkerchief to make it clear. “Is this the waywe’ll be forgotten?” And he bent down over the grave and wept.",Toi Derricotte,Fear
Science Fiction,"Just now I touched my chestAnd felt my heart quivering there.This must be one of the bad times. I think it is quivering with remorseAnd exhaustion. Once I saw a heartBeating in a documentary. I was a very Little girl and the sight disgusted me.Throbbing and not stopping my heart betraysMe and yet remains sure and true, a thing Of nature. Earth bleedingIts guts out on the sea floor exhaustsMe with remorse and shame, and yet I have to trust it As wealth is proven by how terribly it devastatesItself, and I am but one symptom among billions of the wealthOf Earth. A tired feeling that is recuperated by a passing spaceship Or an infinitude like fame but more universal. I will have to miss youEarth; I miss you already. And yet when I touch myself whom I shouldNot trust it is still only the heaviest and most jealous feelings that bind me to you, like blood.",Ariana Reines,Anger
To Be Walang Hiya,"Bubblegum lip gloss kissed,                Our lifelines, our mirrors,I was never a singkil princess            These are Luminous Mysteries — Knuckle cracking, polished toes,        Our notebooks, our language,I was never a Santacruzan queen      To witness, to make way,Black eyeliner, push up bra                  Our thirst and our wedding bands —I was never a curtsying debutante    To fill stone jars with water, to wed,Loud, gum-smacking babygirl             Our glamour and our armor.I was never a tiaraed Miss Fil Am     To transfigure, dazzling as the sun.",Barbara Jane Reyes,Joy
Fire-Taking,"Aztec girl twisting her hair into a braid                                              when the army arrives.She sees them in her citadel,her nickname for the city                                              forgotten by her mouth’s mind.The Spanish writer who keeps the oldest codex saw griefwhen the papers of the people’s prayers were burned by the soldiers.Havoc, my freedom, without a history I invent my own.Say I am of many faces,neither white nor brown,                                                                            say violet,                             the color that speaks like violence.Legacy sounds like lost at sea.              Say it wasn’t precious to me, identity.              Strange, dangerous innocence.              The earth is an onion strung with lights, my eyes sting                                                                                          from the blaze.A gold hawk joins              the ring of fox in heavy dew around me early and Iam part of their wet ritual in my wish                                                            to turn from what is human, evenknowing it was hawk who stole the woodpecker’s redheaded flight.",Desirée Alvarez,Surprise
from Lyrics of the Street,"Outside the PartyThick throng the snow-flakes, the evening is dreary,Glad rings the music in yonder gay hall;On her who listens here, friendless and weary,Heavier chill than the winter’s doth fall.At yon clear window, light-opened before me,Glances the face I have worshipped so well:There’s the fine gentleman, grand in his glory;There, the fair smile by whose sweetness I fell.This is akin to him, shunned and forsaken,That at my bosom sobs low, without bread;Had not such pleading my marble heart shaken,I had been quiet, long since, with the dead.Oh! Could I enter there, ghastly and squalid,Stand in men’s eyes with my spirit o’erborne,Show them where roses bloomed, crushed now and pallid,What he found innocent, leaving forlorn,—How the fair ladies would fail from their dances,Trembling, aghast at my horrible tale!How would he shrink from my words and my glances!How would they shrink from him, swooning and pale!This is the hair that was soft to enchain him;Snakelike, it snarls on my beautiless brow:These are the hands that were fond to detain himWith a sense-magic then, powerless now!No: could I come, like a ghost, to affright him,How should that heal my wound, silence my pain?Had I the wrath of God’s lightning to smite him,That could not bring me my lost peace again.Ne’er let him grieve while good fortunes betide him,Ne’er count again the poor game lost of old;When he comes forth, with his young bride beside him,Here shall they find us both, dead in the cold.",Julia Ward Howe,Joy
The Bride,"My love looks like a girl to-night,       But she is old. The plaits that lie along her pillow       Are not gold, But threaded with filigree silver,       And uncanny cold. She looks like a young maiden, since her brow       Is smooth and fair, Her cheeks are very smooth, her eyes are closed.       She sleeps a rare Still winsome sleep, so still, and so composed. Nay, but she sleeps like a bride, and dreams her dreams       Of perfect things. She lies at last, the darling, in the shape of her dream,       And her dead mouth sings By its shape, like the thrushes in clear evenings.",D. H. Lawrence,Joy
Big City,"He promises a canary dress, white gloves,says they’ll eat chops, thick as her thighs,that they’ll order doubles of the “finest,”see all the Big Names when they arrive.But it’s the thought of them dead:half of what they own draped around them,her head against his chest, his back slackagainst the headboard, all their letters unopened,bills not paid, long knocks, the notices tackedoutside their door. It’s not knowingwhether some smell would introduce themto their neighbors or a landlord wheelingthem out into the hallway; the highboyhe chipped on the drive up, the silvershe inherited from her mother, her hatboxes,stacked high next to them like a wedding cakewaiting to be buried. He heard that “up there”the wind had talons sharp enough to hooka grown man beneath his collarbone and carryhim a full city block. He heard that you learnedthe months by measuring the length of their shadowsand even summer was like a quality of night.",Amaud Jamaul Johnson,Sadness
